VF_percent,sphere_index,cx_um,cy_um,cz_um,radius_um,diameter_um,RVE_side_um
10,1,320.0380,146.8609,272.9787,40.0000,80.0000,377.0794
10,2,215.6018,127.5624,313.8692,40.0000,80.0000,377.0794
10,3,106.8668,279.1130,242.1717,40.0000,80.0000,377.0794
10,4,179.9598,49.4332,305.5893,40.0000,80.0000,377.0794
10,5,210.3703,156.0184,145.4550,40.0000,80.0000,377.0794
10,6,150.2748,56.6665,114.5412,40.0000,80.0000,377.0794
10,7,289.6283,282.8660,238.1483,40.0000,80.0000,377.0794
10,8,179.8195,327.8390,289.4200,40.0000,80.0000,377.0794
10,9,112.9575,208.5660,323.7199,40.0000,80.0000,377.0794
10,10,158.3397,177.2858,67.6680,40.0000,80.0000,377.0794
10,11,67.3617,104.2878,247.5766,40.0000,80.0000,377.0794
10,12,54.3480,309.3995,86.4851,40.0000,80.0000,377.0794
10,13,240.4974,47.7944,58.5233,40.0000,80.0000,377.0794
10,14,236.5066,232.8506,127.3941,40.0000,80.0000,377.0794
10,15,314.6695,293.0109,334.3737,40.0000,80.0000,377.0794
10,16,301.5214,219.4907,71.5212,40.0000,80.0000,377.0794
10,17,259.4152,73.9312,153.3323,40.0000,80.0000,377.0794
10,18,88.6118,94.8262,334.7305,40.0000,80.0000,377.0794
10,19,219.5056,214.4594,271.8433,40.0000,80.0000,377.0794
10,20,154.0114,86.0053,220.3122,40.0000,80.0000,377.0794
20,1,116.0290,137.3223,218.6960,40.0000,80.0000,299.2882
20,2,190.6463,105.9996,136.5538,40.0000,80.0000,299.2882
20,3,163.5331,223.2849,86.7491,40.0000,80.0000,299.2882
20,4,240.2909,109.2752,210.4955,40.0000,80.0000,299.2882
20,5,243.2083,184.2360,66.5322,40.0000,80.0000,299.2882
20,6,46.7296,161.5230,102.0452,40.0000,80.0000,299.2882
20,7,94.2881,255.5942,161.8878,40.0000,80.0000,299.2882
20,8,161.1859,49.7391,40.5252,40.0000,80.0000,299.2882
20,9,47.9793,61.4401,154.9276,40.0000,80.0000,299.2882
20,10,148.7039,63.3597,222.4017,40.0000,80.0000,299.2882
20,11,217.8998,258.3906,152.6647,40.0000,80.0000,299.2882
20,12,226.7615,201.0871,248.0462,40.0000,80.0000,299.2882
20,13,126.6652,220.6439,238.6955,40.0000,80.0000,299.2882
20,14,113.5211,110.7741,90.0830,40.0000,80.0000,299.2882
20,15,249.4284,60.0119,104.2208,40.0000,80.0000,299.2882
20,16,41.4491,239.1252,45.5356,40.0000,80.0000,299.2882
20,17,130.0266,46.9702,136.6302,40.0000,80.0000,299.2882
20,18,54.9258,53.4320,69.1170,40.0000,80.0000,299.2882
20,19,174.9753,183.8705,180.4925,40.0000,80.0000,299.2882
20,20,45.9611,230.5812,225.9699,40.0000,80.0000,299.2882
30,1,103.8748,163.8791,279.7650,40.0000,80.0000,377.0794
30,2,121.5126,282.1619,72.2110,40.0000,80.0000,377.0794
30,3,130.0318,142.0382,103.1146,40.0000,80.0000,377.0794
30,4,313.3129,205.4724,291.0335,40.0000,80.0000,377.0794
30,5,320.9287,102.3992,43.1934,40.0000,80.0000,377.0794
30,6,225.8767,140.8746,177.5538,40.0000,80.0000,377.0794
30,7,227.2392,42.3653,213.7268,40.0000,80.0000,377.0794
30,8,212.3107,215.6847,241.8263,40.0000,80.0000,377.0794
30,9,285.4124,209.6946,47.5124,40.0000,80.0000,377.0794
30,10,261.9504,139.7245,268.5450,40.0000,80.0000,377.0794
30,11,179.6807,48.0724,48.5239,40.0000,80.0000,377.0794
30,12,78.7067,59.2948,45.6627,40.0000,80.0000,377.0794
30,13,104.3946,58.4351,283.7106,40.0000,80.0000,377.0794
30,14,203.4888,303.4450,271.0448,40.0000,80.0000,377.0794
30,15,157.6629,61.1588,132.6695,40.0000,80.0000,377.0794
30,16,321.3731,288.8186,176.6470,40.0000,80.0000,377.0794
30,17,69.4213,314.7855,304.1065,40.0000,80.0000,377.0794
30,18,283.0615,307.2027,314.7422,40.0000,80.0000,377.0794
30,19,301.0200,153.0992,143.7605,40.0000,80.0000,377.0794
30,20,104.1579,75.4428,201.5708,40.0000,80.0000,377.0794
30,21,237.2719,312.5393,117.6943,40.0000,80.0000,377.0794
30,22,72.4734,290.3045,155.4594,40.0000,80.0000,377.0794
30,23,201.1876,230.4852,89.4885,40.0000,80.0000,377.0794
30,24,278.9851,45.3402,147.6432,40.0000,80.0000,377.0794
30,25,135.6680,336.7143,197.4412,40.0000,80.0000,377.0794
30,26,126.0929,158.0726,183.8693,40.0000,80.0000,377.0794
30,27,50.9512,189.7930,197.3423,40.0000,80.0000,377.0794
30,28,50.3715,166.4527,44.9225,40.0000,80.0000,377.0794
30,29,235.8272,244.3065,162.9519,40.0000,80.0000,377.0794
30,30,272.6252,328.7399,227.0631,40.0000,80.0000,377.0794
30,31,222.3579,201.7035,328.4789,40.0000,80.0000,377.0794
30,32,183.6845,58.0907,322.9723,40.0000,80.0000,377.0794
30,33,162.3298,115.2367,252.7205,40.0000,80.0000,377.0794
30,34,333.9220,104.2122,307.4313,40.0000,80.0000,377.0794
30,35,64.2742,218.5811,107.6106,40.0000,80.0000,377.0794
30,36,318.3634,206.1055,205.2685,40.0000,80.0000,377.0794
30,37,140.3310,262.3840,307.4582,40.0000,80.0000,377.0794
30,38,42.3754,227.1580,294.4323,40.0000,80.0000,377.0794
30,39,150.3532,241.4238,180.7443,40.0000,80.0000,377.0794
30,40,321.6017,305.4360,59.6822,40.0000,80.0000,377.0794
30,41,42.5544,327.8540,86.2364,40.0000,80.0000,377.0794
30,42,331.1890,110.0327,216.2020,40.0000,80.0000,377.0794
30,43,62.2857,52.3393,129.0247,40.0000,80.0000,377.0794
30,44,280.8575,45.0683,335.1664,40.0000,80.0000,377.0794
30,45,219.4451,148.3541,90.5751,40.0000,80.0000,377.0794
30,46,50.0704,133.3845,130.5134,40.0000,80.0000,377.0794
30,47,166.4624,137.6177,330.8271,40.0000,80.0000,377.0794
30,48,42.8759,134.9902,326.3657,40.0000,80.0000,377.0794
30,49,191.9639,326.2618,46.8856,40.0000,80.0000,377.0794
30,50,46.2210,113.0144,248.2951,40.0000,80.0000,377.0794
30,51,264.0667,46.7132,60.5753,40.0000,80.0000,377.0794
30,52,126.4192,203.3434,48.0786,40.0000,80.0000,377.0794
30,53,46.5688,326.7613,224.5731,40.0000,80.0000,377.0794
30,54,329.0041,242.1106,110.7345,40.0000,80.0000,377.0794
30,55,321.4623,41.5524,258.4150,40.0000,80.0000,377.0794
30,56,88.7973,255.6510,231.4679,40.0000,80.0000,377.0794
30,57,333.7612,283.0465,256.8738,40.0000,80.0000,377.0794
30,58,160.7056,334.8542,336.2504,40.0000,80.0000,377.0794
